team,points_rank,rebounds_rank,assists_rank,blocks_rank,steals_rank,fg_pct_rank,three_pm_rank,three_pct_rank,ft_pct_rank
Atlanta Dream,11,2,11,6,9,12,7,13,4
Chicago Sky,3,1,5,2,14,6,10,6,5
Connecticut Sun,13,5,9,12,12,13,10,12,15
Dallas Wings,6,13,7,10,12,5,7,7,6
Golden State Valkyries,4,10,1,6,7,7,1,2,8
Indiana Fever,1,14,3,13,14,1,9,9,3
Las Vegas Aces,9,9,1,1,3,2,13,11,14
Los Angeles Sparks,14,11,14,15,3,14,6,10,12
Minnesota Lynx,7,7,8,4,7,4,10,8,11
New York Liberty,2,7,4,8,6,3,3,5,2
Phoenix Mercury,8,12,6,9,3,9,4,1,7
Portland Fire,5,15,11,4,9,8,2,4,1
Seattle Storm,10,5,13,3,9,10,5,3,10
Toronto Tempo,15,4,15,13,1,15,14,14,9
Washington Mystics,12,3,10,10,2,11,14,14,13
