game_id,date,team,opponent,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,stl,blk,to,pf,pts,+/-,result,possesions,ball_security,shot_value,offensive_flow,data_scope
20260425_IND_NYL,"Saturday, April 25, 2026",Indiana Fever,New York Liberty,39,76,51.3,11,26,42.3,20,23,87,7,20,27,27,11,8,12,26,109,18,w,91.1,0.868,0.697,0.692,full_game
20260425_IND_NYL,"Saturday, April 25, 2026",New York Liberty,Indiana Fever,31,65,47.7,5,15,33.3,24,30,80,8,26,34,21,10,3,22,23,91,-18,l,92.2,0.761,0.600,0.677,full_game
20260425_NGR_LAS,"Saturday, April 25, 2026",Los Angeles Sparks,Nigeria National Team,29,59,49.2,11,31,35.5,20,21,95.2,4,25,29,25,10,4,17,23,89,26,w,81.2,0.791,0.898,0.862,data_scope
20260425_CHI_PHX,"Saturday, April 25, 2026",Chicago Sky,Pheonix Mercury,30,59,50.8,6,16,37.5,38,48,79.2,6,19,25,18,6,2,14,27,104,-4,l,88.1,0.841,0.949,0.600,full_game
20260425_CHI_PHX,"Saturday, April 25, 2026",Pheonix Mercury,Chicago Sky,31,63,49.2,15,34,44.1,31,38,81.6,9,24,33,24,8,2,16,31,108,4,w,86.7,0.815,1.206,0.774,full_game
20260425_MIN_WAS,"Saturday, April 25, 2026",Minnesota Lynx,Washington Mystics,27,63,42.9,5,18,27.8,18,26,69.2,8,31,39,17,10,10,21,33,77,11,w,87.4,0.760,0.524,0.630,full_game
20260425_MIN_WAS,"Saturday, April 25, 2026",Washington Mystics,Minnesota Lynx,18,65,27.7,5,20,25,25,40,62.5,12,25,37,13,12,4,14,21,66,-11,l,84.6,0.835,0.615,0.722,full_game
20260425_SEA_GSV,"Saturday, April 25, 2026",Seattle Storm,Golden State Valkyries,25,64,39.1,7,18,38.9,19,26,73.1,12,18,30,12,7,1,14,24,76,-2,w,77.4,0.819,0.625,0.480,full_game
20260425_SEA_GSV,"Saturday, April 25, 2026",Golden State Valkyries,Seattle Storm,27,59,45.8,15,33,45.5,9,16,56.3,10,25,35,16,9,3,18,24,78,2,l,74.0,0.757,0.915,0.593,full_game
20260426_JNT_LVA,"Sunday, April 26, 2026",Las Vegas Aces,Japan National Team,32,71,45.1,8,34,23.5,22,26,84.6,12,32,44,17,9,11,12,13,94,16,w,82.4,0.854,0.648,0.531,data_scope
20260427_NGR_MIN,"Monday, April 27, 2026",Minnesota Lynx,Nigeria National Team,24,60,40,4,18,22.2,27,37,73,12,24,36,11,8,2,15,29,79,-9,w,79.3,0.811,0.650,0.458,data_scope
20260429_CON_TOR,"Wednesday, April 29, 2026",Connecticut Sun,Toronto Tempo,31,59,52.5,5,20,25,16,28,57.1,11,24,35,19,9,6,25,25,83,5,w,85.3,0.707,0.525,0.613,full_game
20260429_CON_TOR,"Wednesday, April 29, 2026",Toronto Tempo,Connecticut Sun,25,62,40.3,11,31,35.5,17,21,81,4,17,21,17,14,1,22,27,78,-5,l,89.2,0.753,0.806,0.680,full_game
20260429_ATL_CHI,"Wednesday, April 29, 2026",Atlanta Dream,Chicago Sky,30,72,41.7,8,23,34.8,19,30,63.3,8,31,39,18,8,3,12,25,87,9,w,89.2,0.865,0.597,0.600,full_game
20260429_ATL_CHI,"Wednesday, April 29, 2026",Chicago Sky,Atlanta Dream,25,62,40.3,8,21,38.1,20,30,66.7,6,26,32,18,8,7,17,24,78,-9,l,86.2,0.803,0.710,0.720,full_game
20260429_PDX_SEA,"Wednesday, April 29, 2026",Portland Fire,Seattle Storm,24,58,41.4,6,23,26.1,27,41,65.9,8,24,32,16,11,7,16,30,81,-10,l,84.0,0.810,0.776,0.667,full_game
20260429_PDX_SEA,"Wednesday, April 29, 2026",Seattle Storm,Portland Fire,25,73,34.2,9,31,29,32,42,76.2,17,26,43,16,8,4,16,31,91,10,w,90.5,0.823,0.808,0.640,full_game
20260429_JNT_PHX,"Wednesday, April 29, 2026",Pheonix Mercury,Japan National Team ,29,65,44.6,10,29,34.5,18,20,90,12,31,43,22,8,3,19,16,86,26,w,80.8,0.765,0.738,0.759,data_scope
20260429_DAL_IND,"Thursday, April 30, 2026",Dallas Wings,Indiana Fever,36,70,51.4,8,23,34.8,15,17,88.2,12,33,45,25,11,1,22,32,95,15,w,87.5,0.749,0.557,0.694,full_game
20260429_DAL_IND,"Thursday, April 30, 2026",Indiana Fever,Dallas Wings,24,60,40,4,23,17.4,28,42,66.7,5,21,26,15,10,3,17,21,80,-15,l,90.5,0.812,0.667,0.625,full_game
20260501_TOR_MIN,"Friday, May 1, 2026",Toronto Tempo,Minnesota Lynx,24,68,35.3,6,24,25,12,16,75,7,27,34,11,7,2,9,31,66,-7,l,77.0,0.883,0.441,0.458,full_game
20260501_TOR_MIN,"Friday, May 1, 2026",Minnesota Lynx,Toronto Tempo,24,56,42.9,2,5,40,23,37,62.2,11,29,40,15,3,4,15,17,73,7,w,76.3,0.803,0.518,0.625,full_game
20260502_NGR_IND,"Saturday, May 2, 2026",Indiana Fever,Nigeria National Team,36,67,53.7,14,31,45.2,19,21,90.5,6,33,39,26,12,5,18,28,105,48,w,88.2,0.796,0.910,0.722,data_scope
