game_id,date,team,opponent,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,stl,blk,to,pf,pts,+/-,result,possessions,ball_security,shot_value,offensive_flow,data_scope
20260425_IND_NYL,"Saturday, April 25, 2026",Indiana Fever,New York Liberty,39.0,76.0,51.3,11.0,26.0,42.3,20.0,23.0,87.0,7.0,20.0,27.0,27.0,11.0,8.0,12.0,26.0,109.0,18.0,w,91.1,0.868,0.697,0.692,full_game
20260425_IND_NYL,"Saturday, April 25, 2026",New York Liberty,Indiana Fever,31.0,65.0,47.7,5.0,15.0,33.3,24.0,30.0,80.0,8.0,26.0,34.0,21.0,10.0,3.0,22.0,23.0,91.0,-18.0,l,92.2,0.761,0.6,0.677,full_game
20260425_NGR_LAS,"Saturday, April 25, 2026",Los Angeles Sparks,Nigeria National Team,29.0,59.0,49.2,11.0,31.0,35.5,20.0,21.0,95.2,4.0,25.0,29.0,25.0,10.0,4.0,17.0,23.0,89.0,26.0,w,81.2,0.791,0.898,0.862,data_scope
20260425_CHI_PHX,"Saturday, April 25, 2026",Chicago Sky,Pheonix Mercury,30.0,59.0,50.8,6.0,16.0,37.5,38.0,48.0,79.2,6.0,19.0,25.0,18.0,6.0,2.0,14.0,27.0,104.0,-4.0,l,88.1,0.841,0.949,0.6,full_game
20260425_CHI_PHX,"Saturday, April 25, 2026",Pheonix Mercury,Chicago Sky,31.0,63.0,49.2,15.0,34.0,44.1,31.0,38.0,81.6,9.0,24.0,33.0,24.0,8.0,2.0,16.0,31.0,108.0,4.0,w,86.7,0.815,1.206,0.774,full_game
20260425_MIN_WAS,"Saturday, April 25, 2026",Minnesota Lynx,Washington Mystics,27.0,63.0,42.9,5.0,18.0,27.8,18.0,26.0,69.2,8.0,31.0,39.0,17.0,10.0,10.0,21.0,33.0,77.0,11.0,w,87.4,0.76,0.524,0.63,full_game
20260425_MIN_WAS,"Saturday, April 25, 2026",Washington Mystics,Minnesota Lynx,18.0,65.0,27.7,5.0,20.0,25.0,25.0,40.0,62.5,12.0,25.0,37.0,13.0,12.0,4.0,14.0,21.0,66.0,-11.0,l,84.6,0.835,0.615,0.722,full_game
20260425_SEA_GSV,"Saturday, April 25, 2026",Seattle Storm,Golden State Valkyries,25.0,64.0,39.1,7.0,18.0,38.9,19.0,26.0,73.1,12.0,18.0,30.0,12.0,7.0,1.0,14.0,24.0,76.0,-2.0,w,77.4,0.819,0.625,0.48,full_game
20260425_SEA_GSV,"Saturday, April 25, 2026",Golden State Valkyries,Seattle Storm,27.0,59.0,45.8,15.0,33.0,45.5,9.0,16.0,56.3,10.0,25.0,35.0,16.0,9.0,3.0,18.0,24.0,78.0,2.0,l,74.0,0.757,0.915,0.593,full_game
20260426_JNT_LVA,"Sunday, April 26, 2026",Las Vegas Aces,Japan National Team,32.0,71.0,45.1,8.0,34.0,23.5,22.0,26.0,84.6,12.0,32.0,44.0,17.0,9.0,11.0,12.0,13.0,94.0,16.0,w,82.4,0.854,0.648,0.531,data_scope
20260427_NGR_MIN,"Monday, April 27, 2026",Minnesota Lynx,Nigeria National Team,24.0,60.0,40.0,4.0,18.0,22.2,27.0,37.0,73.0,12.0,24.0,36.0,11.0,8.0,2.0,15.0,29.0,79.0,-9.0,w,79.3,0.811,0.65,0.458,data_scope
20260429_CON_TOR,"Wednesday, April 29, 2026",Connecticut Sun,Toronto Tempo,31.0,59.0,52.5,5.0,20.0,25.0,16.0,28.0,57.1,11.0,24.0,35.0,19.0,9.0,6.0,25.0,25.0,83.0,5.0,w,85.3,0.707,0.525,0.613,full_game
20260429_CON_TOR,"Wednesday, April 29, 2026",Toronto Tempo,Connecticut Sun,25.0,62.0,40.3,11.0,31.0,35.5,17.0,21.0,81.0,4.0,17.0,21.0,17.0,14.0,1.0,22.0,27.0,78.0,-5.0,l,89.2,0.753,0.806,0.68,full_game
20260429_ATL_CHI,"Wednesday, April 29, 2026",Atlanta Dream,Chicago Sky,30.0,72.0,41.7,8.0,23.0,34.8,19.0,30.0,63.3,8.0,31.0,39.0,18.0,8.0,3.0,12.0,25.0,87.0,9.0,w,89.2,0.865,0.597,0.6,full_game
20260429_ATL_CHI,"Wednesday, April 29, 2026",Chicago Sky,Atlanta Dream,25.0,62.0,40.3,8.0,21.0,38.1,20.0,30.0,66.7,6.0,26.0,32.0,18.0,8.0,7.0,17.0,24.0,78.0,-9.0,l,86.2,0.803,0.71,0.72,full_game
20260429_PDX_SEA,"Wednesday, April 29, 2026",Portland Fire,Seattle Storm,24.0,58.0,41.4,6.0,23.0,26.1,27.0,41.0,65.9,8.0,24.0,32.0,16.0,11.0,7.0,16.0,30.0,81.0,-10.0,l,84.0,0.81,0.776,0.667,full_game
