game_id,date,team,opponent,team_abbr,fg,fg_pct,3pt,3p_pct,ft,ft_pct,oreb,dreb,reb,ast,stl,blk,to,pf,pts,fgm,fga,3pm,3pa,ftm,fta,possessions,offensive_rating,effective_fg_pct,turnover_pct,assist_turnover_ratio,free_throw_rate,three_point_rate,ball_security,shot_value,offensive_flow,opp_offensive_rating,opp_shot_value,opp_offensive_flow,opp_ball_security,opp_turnover_pct,opp_possessions,defensive_pressure,opponent_offensive_rating_allowed,opponent_shot_value_allowed,opponent_offensive_flow_allowed
20260508_CON_NY,"Friday, May 08, 2026",Connecticut Sun,New York Liberty,CON,32-83,39,4-22,18,7-15,47.0,12.0,20.0,32.0,21.0,5.0,2.0,16.0,25.0,75,32.0,83.0,4.0,22.0,7.0,15.0,93.6,80.128,0.41,0.171,1.312,0.181,0.265,0.829,0.229,0.656,118.251,0.836,0.743,0.822,0.178,89.64,0.178,118.251,0.836,0.743
20260508_CON_NY,"Friday, May 08, 2026",New York Liberty,Connecticut Sun,NY,35-67,52,10-31,32,26-31,84.0,7.0,30.0,37.0,26.0,9.0,5.0,16.0,23.0,106,35.0,67.0,10.0,31.0,26.0,31.0,89.64,118.251,0.597,0.178,1.625,0.463,0.463,0.822,0.836,0.743,80.128,0.229,0.656,0.829,0.171,93.6,0.171,80.128,0.229,0.656
20260508_WSH_TOR,"Friday, May 08, 2026",Washington Mystics,Toronto Tempo,WSH,25-64,39,5-24,21,13-22,59.0,9.0,35.0,44.0,14.0,10.0,5.0,18.0,28.0,68,25.0,64.0,5.0,24.0,13.0,22.0,82.68,82.245,0.43,0.218,0.778,0.344,0.375,0.782,0.438,0.56,76.112,0.651,0.588,0.813,0.187,85.4,0.187,76.112,0.651,0.588
20260508_WSH_TOR,"Friday, May 08, 2026",Toronto Tempo,Washington Mystics,TOR,17-63,27,5-25,20,26-35,74.0,9.0,28.0,37.0,10.0,10.0,2.0,16.0,26.0,65,17.0,63.0,5.0,25.0,26.0,35.0,85.4,76.112,0.31,0.187,0.625,0.556,0.397,0.813,0.651,0.588,82.245,0.438,0.56,0.782,0.218,82.68,0.218,82.245,0.438,0.56
20260509_GS_SEA,"Saturday, May 09, 2026",Golden State Valkyries,Seattle Storm,GS,31-74,42,15-37,41,14-22,64.0,13.0,22.0,35.0,22.0,5.0,5.0,9.0,23.0,91,31.0,74.0,15.0,37.0,14.0,22.0,79.68,114.207,0.52,0.113,2.444,0.297,0.5,0.887,0.797,0.71,105.43,0.73,0.615,0.815,0.185,75.88,0.185,105.43,0.73,0.615
20260509_GS_SEA,"Saturday, May 09, 2026",Seattle Storm,Golden State Valkyries,SEA,26-63,41,9-26,35,19-27,70.0,13.0,28.0,41.0,16.0,4.0,5.0,14.0,22.0,80,26.0,63.0,9.0,26.0,19.0,27.0,75.88,105.43,0.484,0.185,1.143,0.429,0.413,0.815,0.73,0.615,114.207,0.797,0.71,0.887,0.113,79.68,0.113,114.207,0.797,0.71
20260509_DAL_IND,"Saturday, May 09, 2026",Dallas Wings,Indiana Fever,DAL,39-66,59,12-23,52,17-24,71.0,3.0,24.0,27.0,26.0,9.0,2.0,15.0,28.0,107,39.0,66.0,12.0,23.0,17.0,24.0,88.56,120.822,0.682,0.169,1.733,0.364,0.348,0.831,0.803,0.667,111.54,0.494,0.575,0.85,0.15,93.24,0.15,111.54,0.494,0.575
20260509_DAL_IND,"Saturday, May 09, 2026",Indiana Fever,Dallas Wings,IND,40-77,52,7-24,29,17-21,81.0,7.0,21.0,28.0,23.0,4.0,2.0,14.0,25.0,104,40.0,77.0,7.0,24.0,17.0,21.0,93.24,111.54,0.565,0.15,1.643,0.273,0.312,0.85,0.494,0.575,120.822,0.803,0.667,0.831,0.169,88.56,0.169,120.822,0.803,0.667
20260509_PHX_LV,"Saturday, May 09, 2026",Phoenix Mercury,Las Vegas Aces,PHX,38-77,49,11-24,46,12-15,80.0,7.0,30.0,37.0,23.0,11.0,4.0,7.0,10.0,99,38.0,77.0,11.0,24.0,12.0,15.0,83.6,118.421,0.565,0.084,3.286,0.195,0.312,0.916,0.584,0.605,77.175,0.225,0.655,0.801,0.199,85.52,0.199,77.175,0.225,0.655
20260509_PHX_LV,"Saturday, May 09, 2026",Las Vegas Aces,Phoenix Mercury,LV,29-71,41,4-19,21,4-8,50.0,6.0,29.0,35.0,19.0,5.0,8.0,17.0,15.0,66,29.0,71.0,4.0,19.0,4.0,8.0,85.52,77.175,0.437,0.199,1.118,0.113,0.268,0.801,0.225,0.655,118.421,0.584,0.605,0.916,0.084,83.6,0.084,118.421,0.584,0.605
20260510_ATL_MIN,"Sunday, May 10, 2026",Atlanta Dream,Minnesota Lynx,ATL,31-73,42,7-29,24,22-30,73.0,19.0,27.0,46.0,22.0,9.0,6.0,20.0,18.0,91,31.0,73.0,7.0,29.0,22.0,30.0,87.2,104.358,0.473,0.229,1.1,0.411,0.397,0.771,0.589,0.71,102.646,0.429,0.571,0.829,0.171,87.68,0.171,102.646,0.429,0.571
20260510_ATL_MIN,"Sunday, May 10, 2026",Minnesota Lynx,Atlanta Dream,MIN,35-70,50,5-18,28,15-22,68.0,7.0,18.0,25.0,20.0,10.0,7.0,15.0,24.0,90,35.0,70.0,5.0,18.0,15.0,22.0,87.68,102.646,0.536,0.171,1.333,0.314,0.257,0.829,0.429,0.571,104.358,0.589,0.71,0.771,0.229,87.2,0.229,104.358,0.589,0.71
20260510_CHI_POR,"Sunday, May 10, 2026",Chicago Sky,Portland Fire,CHI,33-69,48,6-17,35,26-34,76.0,14.0,32.0,46.0,22.0,4.0,8.0,9.0,17.0,98,33.0,69.0,6.0,17.0,26.0,34.0,78.96,124.113,0.522,0.114,2.444,0.493,0.246,0.886,0.638,0.667,97.877,0.606,0.69,0.906,0.094,84.8,0.094,97.877,0.606,0.69
20260510_CHI_POR,"Sunday, May 10, 2026",Portland Fire,Chicago Sky,POR,29-71,41,9-29,31,16-20,80.0,3.0,21.0,24.0,20.0,6.0,7.0,8.0,24.0,83,29.0,71.0,9.0,29.0,16.0,20.0,84.8,97.877,0.472,0.094,2.5,0.282,0.408,0.906,0.606,0.69,124.113,0.638,0.667,0.886,0.114,78.96,0.114,124.113,0.638,0.667
20260510_SEA_CON,"Sunday, May 10, 2026",Seattle Storm,Connecticut Sun,SEA,27-61,44,10-22,45,25-33,76.0,7.0,25.0,32.0,14.0,10.0,8.0,14.0,22.0,89,27.0,61.0,10.0,22.0,25.0,33.0,82.52,107.853,0.525,0.17,1.0,0.541,0.361,0.83,0.902,0.519,92.467,0.548,0.621,0.82,0.18,88.68,0.18,92.467,0.548,0.621
20260510_SEA_CON,"Sunday, May 10, 2026",Connecticut Sun,Seattle Storm,CON,29-73,40,8-23,35,16-22,73.0,10.0,31.0,41.0,18.0,7.0,3.0,16.0,28.0,82,29.0,73.0,8.0,23.0,16.0,22.0,88.68,92.467,0.452,0.18,1.125,0.301,0.315,0.82,0.548,0.621,107.853,0.902,0.519,0.83,0.17,82.52,0.17,107.853,0.902,0.519
20260510_NY_WSH,"Sunday, May 10, 2026",New York Liberty,Washington Mystics,NY,33-69,48,9-27,33,23-28,82.0,8.0,26.0,34.0,19.0,7.0,5.0,15.0,31.0,98,33.0,69.0,9.0,27.0,23.0,28.0,88.32,110.96,0.543,0.17,1.267,0.406,0.391,0.83,0.725,0.576,107.192,0.438,0.706,0.85,0.15,86.76,0.15,107.192,0.438,0.706
20260510_NY_WSH,"Sunday, May 10, 2026",Washington Mystics,New York Liberty,WSH,34-80,43,5-26,19,20-29,69.0,19.0,23.0,42.0,24.0,7.0,1.0,13.0,27.0,93,34.0,80.0,5.0,26.0,20.0,29.0,86.76,107.192,0.456,0.15,1.846,0.362,0.325,0.85,0.438,0.706,110.96,0.725,0.576,0.83,0.17,88.32,0.17,110.96,0.725,0.576
