player,team,position,pts,reb,ast,stl,blk,to,fgm,fga,3pm,3pa,ftm,fta,player_shot_value,player_offensive_flow,assist_turnover_ratio
A'ja Wilson,Las Vegas Aces,C,25.853,9.471,3.0,1.441,2.0,2.529,9.059,17.294,0.971,2.382,6.765,8.0,0.602,0.342,30.814
Aaliyah Edwards,Connecticut Sun,F,9.864,4.0,0.864,0.682,0.364,1.455,3.818,7.091,0.182,0.455,2.045,2.818,0.369,0.267,91.299
Aaliyah Nye,Atlanta Dream,G,0.647,0.176,0.176,0.059,0.059,0.059,0.176,0.529,0.118,0.353,0.176,0.176,0.667,0.333,176.294
Aaliyah Nye,Toronto Tempo,G,5.0,3.0,2.0,1.0,0.0,1.0,1.0,5.0,1.0,5.0,2.0,3.0,1.0,2.0,2.0
Aicha Coulibaly,Chicago Sky,G,4.958,2.542,0.583,0.792,0.167,0.667,1.542,3.625,0.042,0.75,1.833,2.083,0.59,0.31,249.958
Alanna Smith,Dallas Wings,F,6.133,4.133,1.233,0.733,0.467,1.333,2.4,5.367,0.667,2.333,0.667,1.033,0.591,0.671,67.169
Alex Fowler,New York Liberty,F,4.0,0.667,0.333,1.333,0.0,1.333,1.333,4.333,0.667,3.0,0.667,0.667,0.381,0.25,0.111
Alex Wilson,Washington Mystics,G,3.0,1.75,0.75,0.0,0.25,0.5,1.0,3.75,0.5,2.75,0.5,0.75,0.444,0.667,250.0
Alicia Florez,Washington Mystics,G,3.6,1.56,2.24,0.6,0.12,1.16,1.36,4.04,0.32,1.6,0.56,1.2,0.407,1.384,280.463
Alissa Pili,Los Angeles Sparks,F,2.5,1.75,0.5,0.0,0.0,0.75,1.0,2.0,0.5,0.75,0.0,0.0,0.5,0.5,249.75
Aliyah Boston,Indiana Fever,C,16.576,8.424,3.091,1.424,1.212,2.485,6.303,11.97,1.152,2.667,2.818,3.424,0.564,0.571,62.096
Allisha Gray,Atlanta Dream,G,19.143,3.171,2.371,1.257,0.4,1.6,6.457,13.971,1.714,5.286,4.514,5.771,0.769,0.496,115.412
Alysha Clark,Dallas Wings,F,2.24,1.44,0.6,0.32,0.12,0.6,0.68,1.72,0.36,1.08,0.52,0.72,0.889,0.5,239.987
Alyssa Thomas,Phoenix Mercury,F,14.882,7.471,8.235,1.412,0.471,3.647,5.647,10.912,0.029,0.088,3.559,5.118,0.368,1.844,2.875
Amy Okonkwo,Atlanta Dream,F,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,0.0
Amy Okonkwo,Dallas Wings,F,4.0,2.5,0.0,1.0,0.0,1.5,1.0,3.5,0.5,2.5,1.5,1.5,0.6,0.0,0.0
Amy Okonkwo,Portland Fire,F,,,,,,,,,,,,,,,
Anastasiia Olairi Kosu,Minnesota Lynx,F,4.214,2.286,0.679,0.607,0.429,0.679,1.5,3.071,0.071,0.107,1.143,1.321,0.435,0.529,178.655
Aneesah Morrow,Connecticut Sun,F,11.381,8.857,1.571,0.952,0.429,1.667,4.524,10.81,0.905,3.286,1.429,2.333,0.368,0.356,48.556
Aneesah Morrow,Toronto Tempo,F,9.5,5.0,1.0,1.0,1.0,1.5,3.25,7.0,0.25,1.5,2.75,4.0,0.66,0.612,250.125
Angel Reese,Atlanta Dream,F,15.412,11.824,2.441,1.647,0.735,3.176,5.324,12.735,0.176,1.265,4.588,6.265,0.448,0.601,0.958
Angela Dugalic,Washington Mystics,F,3.333,2.867,0.767,0.5,0.267,0.833,1.333,3.067,0.167,1.1,0.5,0.767,0.332,0.539,233.45
Anneli Maley,New York Liberty,F,3.0,2.333,0.5,0.667,0.167,0.167,0.667,2.5,0.333,1.167,1.333,1.333,0.56,0.167,166.667
Anneli Maley,Phoenix Mercury,F,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,,0.0
Antonia Delaere,Minnesota Lynx,F,3.028,0.75,1.139,0.444,0.0,0.389,1.056,2.333,0.694,1.556,0.222,0.222,0.772,1.046,388.861
Ariel Atkins,Los Angeles Sparks,G,8.636,2.909,2.939,1.636,0.394,1.667,3.061,8.333,1.273,4.333,1.242,1.394,0.614,1.105,152.992
Arike Ogunbowale,Dallas Wings,G,14.861,3.167,3.083,0.972,0.056,1.667,4.75,12.194,1.694,5.25,3.667,4.111,0.688,0.781,167.91
Ashlon Jackson,Connecticut Sun,G,1.25,0.75,0.75,0.875,0.0,0.375,0.5,1.75,0.25,1.375,0.0,0.25,0.286,0.5,374.75
Ashten Prechtel,Golden State Valkyries,F,4.0,2.0,1.0,0.5,0.0,1.5,1.0,2.5,0.5,1.5,1.5,1.5,1.25,0.0,0.5
Aubrey Griffin,Minnesota Lynx,F,,,,,,,,,,,,,,,
Aubrey Griffin,New York Liberty,F,0.5,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Awa Fam,Seattle Storm,C,10.613,5.806,1.903,0.871,0.839,1.71,4.097,8.903,1.516,4.194,0.903,1.097,0.665,0.557,129.782
Awak Kuier,Dallas Wings,F,5.545,3.212,0.909,0.455,1.242,0.909,2.121,4.364,0.576,1.788,0.727,1.0,0.72,0.47,182.146
Aziaha James,Dallas Wings,G,6.694,2.583,1.278,0.861,0.278,0.833,2.361,6.056,0.389,1.778,1.583,2.139,0.47,0.549,222.623
Azura Stevens,Chicago Sky,F,10.731,6.615,2.346,0.923,0.577,1.731,4.0,9.923,0.885,3.577,1.846,2.385,0.435,0.749,78.436
Azzi Fudd,Dallas Wings,G,12.781,1.625,1.781,1.625,0.781,1.062,5.062,11.219,1.969,5.094,0.688,0.844,0.598,0.399,281.786
Betnijah Laney-Hamilton,New York Liberty,G,4.706,1.882,1.529,0.294,0.176,1.529,1.471,4.059,0.529,2.176,1.235,1.529,0.51,0.517,294.314
Betnijah Laney-Hamilton,Washington Mystics,G,3.0,1.667,2.0,0.667,0.0,0.667,1.0,4.0,1.0,3.0,0.0,0.0,0.833,1.5,666.333
Breanna Stewart,New York Liberty,F,20.351,8.189,3.189,1.243,1.351,2.162,6.973,15.0,0.757,2.919,5.649,6.676,0.543,0.519,82.714
Bree Hall,Indiana Fever,G,2.5,0.5,0.0,0.0,0.0,0.0,1.0,2.5,0.5,0.5,0.0,0.0,0.6,0.0,0.0
Brianna Turner,Las Vegas Aces,F,1.657,2.171,0.229,0.257,0.514,0.543,0.8,1.314,0.0,0.0,0.057,0.057,0.0,0.172,85.752
Bridget Carleton,Portland Fire,F,14.314,4.429,2.029,1.486,0.486,1.229,4.771,11.743,2.743,7.314,2.029,2.343,0.884,0.577,257.805
Brionna Jones,Atlanta Dream,F,8.222,5.556,2.0,0.333,0.667,1.0,3.0,5.778,0.111,0.667,2.111,2.333,0.466,0.825,444.241
Brittney Griner,Connecticut Sun,C,13.368,5.737,2.421,0.474,1.684,1.684,5.474,10.158,0.158,0.316,2.263,3.368,0.277,0.508,54.035
Brittney Sykes,Toronto Tempo,G,19.312,3.625,3.25,1.312,0.438,2.375,6.188,14.812,1.0,3.875,5.938,6.625,0.56,0.655,188.447
Caitlin Clark,Indiana Fever,G,21.697,3.758,8.03,0.939,0.515,4.485,6.697,14.727,2.667,7.364,5.636,6.576,1.029,1.422,2.231
Cameron Brink,Los Angeles Sparks,F,8.731,4.885,1.231,0.538,1.654,2.385,3.038,6.192,0.808,2.538,1.846,2.462,0.698,0.524,77.581
Carla Leite,Portland Fire,G,15.576,2.182,6.091,0.636,0.061,3.455,4.667,10.121,0.848,2.152,5.394,6.212,0.869,1.645,92.679
Cassandre Prosper,Washington Mystics,G,2.452,1.258,0.484,0.323,0.097,0.645,0.968,3.129,0.226,1.29,0.29,0.613,0.389,0.592,129.161
Cecilia Zandalasini,Golden State Valkyries,F,8.333,2.0,1.767,0.9,0.167,1.467,3.033,7.433,1.333,3.733,0.933,1.133,0.608,0.732,167.569
Chance Gray,Los Angeles Sparks,G,2.875,1.219,0.938,0.156,0.0,0.656,0.875,2.469,0.625,1.875,0.5,0.625,0.864,0.647,281.391
Charlisse Leger-Walker,Connecticut Sun,G,6.5,2.029,3.265,0.853,0.147,1.853,2.324,6.382,0.824,2.706,1.029,1.353,0.559,1.405,206.941
Chelsea Gray,Las Vegas Aces,G,12.081,3.189,7.0,1.216,0.27,2.946,4.378,10.135,1.838,4.784,1.486,1.595,0.691,2.065,3.347
Chennedy Carter,Las Vegas Aces,G,12.133,1.733,1.467,0.867,0.4,1.2,4.6,8.067,0.733,1.667,2.2,2.933,0.904,0.383,200.478
Cheyenne Parker-Tyus,Las Vegas Aces,F,5.0,2.8,0.68,0.4,0.6,0.56,1.72,3.4,0.16,0.56,1.4,1.88,0.485,0.526,200.12
Chloe Bibby,Chicago Sky,F,5.5,0.5,1.5,0.5,0.25,0.5,2.0,5.0,1.0,3.0,0.5,0.5,0.396,0.733,499.5
Chloe Bibby,Minnesota Lynx,F,,,,,,,,,,,,,,,
Chloe Bibby,Portland Fire,F,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0
Christeen Iwuala,Washington Mystics,F,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,999.0
Costanza Verona,Dallas Wings,G,1.333,0.0,0.667,0.333,0.0,0.0,0.667,2.0,0.0,0.0,0.0,0.0,0.0,1.0,333.0
Cotie McMahon,Washington Mystics,G,6.818,3.091,1.939,0.636,0.182,0.97,2.273,5.758,0.545,1.97,1.727,2.848,0.685,0.86,273.689
Courtney Vandersloot,Chicago Sky,G,9.222,2.889,4.833,1.278,0.278,2.0,3.0,7.056,0.944,2.333,2.278,3.0,0.735,1.733,58.25
