player,pts,reb,ast,stl,blk,to,player_shot_value,player_offensive_flow,assist_turnover_ratio
Marina Mabrey,27.0,7.0,2.0,1.0,0.0,4.0,1.167,0.333,0.5
Kamilla Cardoso,22.0,14.0,1.0,0.0,1.0,2.0,0.4,0.125,0.5
Arike Ogunbowale,21.0,2.5,3.0,0.5,0.0,2.5,0.6,0.384,1.083
Skylar Diggins,21.0,11.0,7.0,1.0,2.0,2.0,0.75,0.875,3.5
Janelle Salaun,20.5,2.5,1.5,0.5,0.5,0.5,1.25,0.214,1.0
Kelsey Plum,20.0,2.5,3.0,0.0,0.0,2.5,1.202,0.767,1.333
Rickea Jackson,19.0,7.0,3.0,0.0,1.0,3.0,0.786,0.6,1.0
Kelsey Mitchell,19.0,1.667,2.0,0.667,0.0,1.333,0.645,0.232,1.333
A'ja Wilson,18.667,4.333,2.667,1.333,1.667,3.0,0.571,0.376,1.083
Breanna Stewart,18.5,8.75,3.0,1.25,2.0,2.75,0.405,0.661,1.375
Kahleah Copper,18.0,0.667,2.667,1.0,0.0,3.333,0.386,0.519,0.833
Marine Johannes,18.0,3.5,3.25,3.0,0.0,1.75,1.184,0.604,2.417
Nneka Ogwumike,18.0,7.0,3.5,1.0,0.0,1.0,0.978,0.643,1.0
Caitlin Clark,17.667,3.0,5.0,0.667,0.0,3.0,1.963,1.111,2.244
Allisha Gray,17.667,4.333,1.0,1.0,0.667,2.0,0.6,0.143,0.375
Shakira Austin,17.0,10.5,3.0,1.0,1.0,1.5,0.385,0.5,2.5
Carla Leite,16.667,2.667,4.0,0.667,0.0,2.333,0.821,0.833,2.25
Paige Bueckers,16.5,2.75,4.75,0.75,0.25,1.0,0.726,0.931,2.5
Alyssa Thomas,16.333,6.333,9.333,1.667,0.0,3.667,0.573,2.4,4.278
Sonia Citron,16.333,3.0,1.667,1.333,0.667,1.333,0.772,0.667,0.5
Kayla Thornton,16.0,5.5,0.5,0.0,0.0,1.5,0.933,0.125,0.25
Jackie Young,16.0,3.667,5.0,0.333,0.333,1.333,0.458,0.718,4.5
Bridget Carleton,16.0,1.0,1.667,2.0,0.333,0.333,0.95,0.444,1.0
Kayla McBride,15.667,2.333,2.0,1.0,0.0,1.667,0.828,0.429,1.333
Olivia Miles,15.667,5.0,5.667,0.667,0.667,2.333,0.439,1.044,2.389
Brittney Griner,15.0,5.333,1.0,1.0,0.0,1.333,0.374,0.159,0.5
Pauline Astier,14.75,3.25,4.5,1.5,0.25,2.25,0.555,1.117,2.033
Veronica Burton,14.5,2.5,9.0,2.5,0.0,0.5,0.885,2.6,6.0
Kiki Iriafen,14.333,10.667,2.0,0.333,1.0,2.333,0.617,0.387,0.944
Flau'jae Johnson,14.0,4.0,1.5,2.0,0.5,1.5,1.1,0.5,1.0
Jade Melbourne,14.0,1.5,4.5,1.0,0.5,0.5,1.543,1.125,6.0
Jonquel Jones,13.75,6.25,1.5,1.0,1.25,2.25,1.152,0.375,0.639
Dominique Malonga,13.5,7.5,0.0,1.0,2.5,2.5,0.333,0.0,0.0
Aliyah Boston,13.5,2.5,4.5,1.5,1.0,1.0,0.25,1.667,4.5
Aneesah Morrow,13.333,10.0,0.333,1.0,0.0,2.667,0.267,0.048,0.167
Gabby Williams,13.0,5.5,3.5,2.5,0.5,3.0,0.778,1.214,1.375
Jacy Sheldon,13.0,4.0,4.0,1.0,3.0,0.0,1.0,1.0,
Kamiah Smalls,13.0,0.0,2.0,0.0,0.0,2.0,1.857,0.5,1.0
Emma Cechova,13.0,5.0,0.0,0.333,2.0,2.0,0.544,0.0,0.0
Aziaha James,12.75,3.75,1.75,2.0,0.75,2.25,0.877,0.4,0.806
Dearica Hamby,12.5,4.5,1.5,1.0,0.0,2.5,0.682,0.375,0.667
Chennedy Carter,12.333,1.0,1.333,1.333,0.667,1.667,0.201,0.467,0.333
Jovana Nogic,12.333,0.667,2.333,1.667,0.0,2.0,1.597,0.5,2.083
Holly Winterburn,12.0,2.0,2.0,2.0,0.0,2.0,0.444,0.5,1.0
Elizabeth Balogun,12.0,1.0,0.0,1.0,0.0,0.0,0.75,0.0,
Diamond Miller,11.667,4.0,1.0,1.0,0.333,1.333,0.603,0.333,0.5
DeWanna Bonner,11.333,7.333,2.333,0.333,1.333,0.667,0.632,0.744,2.5
Makayla Timpson,11.333,3.0,0.333,1.0,1.0,0.333,0.606,0.067,0.0
Jordin Canada,11.333,3.0,4.0,1.0,0.0,2.0,0.819,1.042,2.5
Angel Reese,11.0,11.333,1.333,1.667,1.333,3.333,0.448,0.333,0.356
Brittney Sykes,11.0,2.0,1.0,2.0,0.0,2.5,0.278,0.25,0.5
NaLyssa Smith,10.667,5.333,1.0,0.0,1.333,0.667,0.443,0.217,0.0
Jessica Shepard,10.333,7.333,4.667,0.667,0.0,1.333,0.458,1.1,3.0
Rhyne Howard,10.333,3.0,4.0,1.667,0.333,1.0,0.805,1.292,1.667
Maddy Siegrist,10.25,5.5,0.5,0.25,0.25,0.5,0.261,0.119,0.5
Odyssey Sims,10.25,1.5,3.0,0.75,0.0,1.25,0.488,0.896,2.25
Elizabeth Williams,10.0,1.0,2.0,0.0,1.0,0.0,0.4,0.5,
Damiris Dantas,10.0,3.667,1.667,0.333,0.333,2.333,0.859,0.478,0.778
Gabriela Jaquez,10.0,7.0,2.0,2.0,0.0,0.0,0.857,0.667,
Chelsea Gray,10.0,2.0,5.333,0.333,0.667,3.667,0.622,1.694,1.778
Natasha Mack,10.0,9.0,0.667,0.667,1.667,0.333,0.533,0.167,1.0
Zia Cooke,9.5,4.0,1.0,1.0,0.0,1.0,0.708,0.2,1.0
Luisa Geiselsoder,9.333,6.0,1.667,0.333,1.333,1.667,0.733,0.667,1.0
Hailey Van Lith,9.0,2.0,4.0,1.0,0.0,1.5,0.402,1.0,3.0
Sarah Ashlee Barker,9.0,3.0,1.5,0.5,0.5,1.5,0.467,0.75,0.75
Cotie McMahon,9.0,1.0,1.0,2.0,0.0,0.0,1.25,0.5,
Lexie Brown,8.5,1.0,2.0,0.0,0.5,2.0,1.071,0.167,0.75
Natisha Hiedeman,8.5,3.5,3.0,1.0,0.0,2.5,0.193,1.05,1.875
Nia Coffey,8.333,5.667,0.333,0.333,1.333,0.333,0.845,0.333,0.0
Betnijah Laney-Hamilton,8.333,2.333,2.333,0.0,0.333,2.0,0.857,1.0,1.375
Courtney Williams,8.333,4.667,5.667,2.0,0.667,2.333,0.128,1.054,3.167
Kaitlyn Chen,8.0,2.0,2.0,0.0,0.0,0.5,0.4,1.2,2.0
Nyara Sabally,8.0,6.0,0.0,3.0,1.0,1.0,0.25,0.0,0.0
Cecilia Zandalasini,8.0,2.0,1.0,1.0,0.0,0.0,0.8,0.333,
Rebekah Gardner,8.0,4.0,1.75,0.25,0.0,0.75,1.3,0.611,1.0
Megan Gustafson,8.0,1.0,0.5,0.0,0.0,1.0,0.75,0.125,0.5
Lauren Betts,8.0,3.667,1.667,0.333,0.333,0.333,0.131,0.381,3.0
Laeticia Amihere,8.0,5.0,3.0,0.0,1.5,1.5,0.381,1.0,1.75
Harmoni Turner,7.0,2.0,0.0,0.0,0.0,1.0,1.25,0.0,0.0
Georgia Amoore,7.0,1.667,4.0,2.0,0.0,2.667,0.633,1.5,2.867
Derin Erdogan,7.0,0.0,1.0,0.0,0.0,1.0,0.375,0.333,1.0
JJ Quinerly,7.0,3.0,3.0,1.0,0.0,3.0,2.333,3.0,1.0
Taylor Thierry,7.0,4.0,1.0,0.0,0.0,1.0,1.4,0.5,1.0
Natasha Howard,6.667,6.0,2.0,0.667,0.0,3.0,0.074,0.5,0.45
Kiana Williams,6.667,0.667,0.667,1.0,0.0,0.667,1.5,0.417,0.5
Laura Juskaite,6.5,6.5,0.5,1.5,0.0,2.5,0.517,0.25,0.167
Kayana Traylor,6.5,0.5,0.5,0.0,0.0,2.0,0.85,0.25,0.25
Jordan Harrison,6.5,1.5,4.0,0.5,0.0,3.0,0.5,2.0,1.5
Azzi Fudd,6.333,0.333,0.667,0.333,0.0,0.333,0.7,0.25,1.0
Kennedy Burke,6.333,4.0,4.0,0.0,1.333,2.0,0.446,2.389,2.5
Alanna Smith,6.25,5.0,2.75,0.75,0.5,2.75,0.958,2.3,1.0
Ariel Atkins,6.0,3.0,3.0,2.0,0.5,2.0,0.583,2.0,2.0
Haley Jones,6.0,2.667,1.0,0.667,0.0,1.667,0.0,0.278,0.75
Myisha Hines-Allen,6.0,6.0,1.333,0.333,0.0,1.333,0.417,0.556,0.75
Valeriane Ayayi,6.0,4.0,3.0,1.0,0.0,2.0,1.5,1.5,1.5
Shatori Walker-Kimbrough,6.0,3.0,2.0,1.0,1.0,1.0,0.571,0.667,0.0
Stefanie Dolson,6.0,4.5,1.5,0.0,1.0,1.5,1.333,0.75,0.75
Sabrina Ionescu,6.0,1.0,2.0,0.0,0.0,3.0,0.25,1.0,0.667
Serah Williams,6.0,5.0,1.0,1.0,0.5,1.5,0.5,0.333,0.333
Stephanie Talbot,6.0,1.667,1.333,1.667,0.0,1.333,0.333,0.417,1.167
Noemie Brochant,5.667,1.333,0.333,0.333,0.0,0.333,1.233,0.0,0.0
Jewell Loyd,5.667,3.667,1.667,1.667,0.667,1.333,0.278,1.222,1.667
Madina Okot,5.667,5.0,0.333,0.667,0.667,2.333,0.389,0.167,0.067
Nyadiew Puoch,5.667,1.667,1.333,1.333,0.0,0.333,0.867,0.75,0.0
Raven Johnson,5.333,3.333,2.667,2.333,0.333,1.667,1.056,2.444,1.556
Naz Hillmon,5.333,3.667,1.333,0.333,0.0,0.333,0.3,0.333,1.0
Te-Hina Paopao,5.333,3.333,1.667,0.0,0.333,2.0,0.5,0.778,0.611
Anastasiia Olairi Kosu,5.333,2.667,0.667,0.333,0.333,0.0,0.333,0.667,
Kaila Charles,5.0,5.0,1.5,0.5,0.5,1.5,1.062,1.25,1.0
Maite Cazorla,5.0,4.0,4.0,2.0,0.0,2.0,1.5,4.0,2.0
Kiki Rice,5.0,2.5,1.5,0.5,0.0,0.0,0.143,0.5,
Emily Engstler,5.0,2.5,1.5,1.5,3.0,3.0,1.0,0.75,0.5
Darianna Littlepage-Buggs,5.0,2.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0
Grace VanSlooten,5.0,1.0,0.0,0.5,0.0,0.0,2.0,0.0,
Aaliyah Nye,5.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0
Olivia Nelson-Ododa,5.0,2.333,1.333,0.667,0.667,1.333,0.381,0.25,0.5
Angela Dugalic,4.667,3.333,0.667,1.333,0.333,1.0,0.393,0.222,0.5
Gianna Kneepkens,4.667,2.667,1.333,0.667,0.0,0.333,0.375,0.778,2.0
Anneli Maley,4.667,2.667,0.333,0.0,0.0,0.333,1.15,0.333,1.0
Lucy Olsen,4.667,0.667,1.333,0.333,0.0,1.333,0.75,0.583,0.75
Kia Nurse,4.5,0.5,0.5,0.0,0.0,1.0,0.5,0.5,0.5
Ta'Niya Latson,4.5,1.0,1.0,0.0,0.0,2.5,0.3,0.5,0.25
Monique Billings,4.5,2.5,0.0,1.0,0.0,2.0,0.5,0.0,0.0
Eliska Hamzova,4.5,1.5,0.5,0.0,0.0,3.0,1.833,0.5,0.125
Julie Vanloo,4.5,2.5,4.25,0.25,0.0,2.0,1.25,2.556,1.917
Rae Burrell,4.5,2.5,0.5,1.5,0.5,1.5,0.25,0.25,0.25
Cassandre Prosper,4.333,2.333,0.667,1.0,0.0,0.333,0.111,0.667,2.0
Saniya Rivers,4.333,1.667,4.333,0.333,0.667,2.667,0.167,2.667,1.667
Antonia Delaere,4.0,0.333,1.333,0.333,0.0,0.333,0.667,0.667,1.0
Dulcy Fankam Mendjiadeu,4.0,2.0,0.5,0.0,0.0,1.0,0.0,0.25,0.5
Amy Okonkwo,4.0,2.5,0.0,1.0,0.0,1.5,0.6,0.0,0.0
Erica Wheeler,4.0,0.5,1.5,2.0,0.0,0.5,0.6,1.0,2.0
Julie Allemand,4.0,4.5,2.0,0.5,0.0,0.0,1.25,1.5,
Kyara Linskens,4.0,2.0,0.667,1.0,0.333,0.0,0.889,0.5,
Sania Feagin,4.0,1.5,0.0,0.5,0.0,0.5,1.333,0.0,0.0
Sophie Cunningham,4.0,2.0,2.0,0.333,0.0,0.0,1.25,2.0,
Han Xu,4.0,2.0,0.5,0.5,0.75,0.25,0.188,0.278,1.0
Frieda Buhner,3.667,2.0,0.0,0.0,0.0,0.333,0.25,0.0,0.0
Li Yueru,3.667,3.0,0.667,0.0,0.0,1.333,1.7,0.667,0.333
Alex Wilson,3.5,3.0,1.5,0.0,0.0,1.0,0.167,1.0,1.0
Mackenzie Holmes,3.5,6.0,1.0,0.0,0.5,0.5,0.25,0.5,2.0
Kiah Stokes,3.5,3.5,1.5,1.0,1.5,0.0,0.25,1.0,
Charlisse Leger-Walker,3.333,1.333,1.0,0.333,0.0,1.667,0.111,0.75,1.0
Jessica Timmons,3.0,1.0,0.5,0.0,0.0,1.0,0.467,0.0,0.5
Emma Cannon,3.0,0.5,0.5,0.0,0.0,1.0,2.25,0.5,0.0
Chance Gray,3.0,1.5,1.0,0.5,0.0,0.5,0.4,0.5,1.0
Awak Kuier,3.0,2.5,1.0,0.5,0.5,0.0,1.0,0.5,
Raegan Beers,3.0,1.0,0.5,0.5,0.0,1.0,0.8,0.5,0.5
