team,pts,possessions,ball_security,shot_value,offensive_flow
Los Angeles Sparks,87.0,84.65,0.782,0.8475,0.854
Pheonix Mercury,97.0,83.75,0.79,0.972,0.7665
Washington Mystics,74.5,83.5,0.8205,0.5780000000000001,0.6945
Dallas Wings,98.0,88.15,0.7955,0.6234999999999999,0.69
Indiana Fever,98.0,89.93333333333334,0.8253333333333334,0.758,0.6796666666666665
New York Liberty,85.0,84.95,0.8160000000000001,0.677,0.672
Atlanta Dream,79.5,84.9,0.8025,0.6435,0.6635
Chicago Sky,91.0,87.15,0.8220000000000001,0.8294999999999999,0.6599999999999999
Portland Fire,78.0,84.6,0.764,0.712,0.646
Golden State Valkyries,78.0,74.0,0.757,0.915,0.593
Connecticut Sun,75.0,81.65,0.751,0.452,0.5845
Minnesota Lynx,76.33333333333333,81.0,0.7913333333333333,0.5640000000000001,0.5710000000000001
Toronto Tempo,72.0,83.1,0.8180000000000001,0.6235,0.5690000000000001
Seattle Storm,83.5,83.95,0.821,0.7165,0.56
Las Vegas Aces,89.0,86.55000000000001,0.839,0.6405000000000001,0.5155000000000001
